YEAR,TOTAL_FILES,FIRST_DATE,LAST_DATE,STATUS
1995,221,1995-01-02,1995-12-29,AVAILABLE
1996,235,1996-01-01,1996-12-31,AVAILABLE
1997,242,1997-01-01,1997-12-31,AVAILABLE
1998,246,1998-01-01,1998-12-31,AVAILABLE
1999,249,1999-01-01,1999-12-30,AVAILABLE
2000,250,2000-01-03,2000-12-29,AVAILABLE
2001,248,2001-01-01,2001-12-31,AVAILABLE
2002,251,2002-01-01,2002-12-31,AVAILABLE
2003,251,2003-01-01,2003-12-31,AVAILABLE
2004,252,2004-01-01,2004-12-31,AVAILABLE
2005,249,2005-01-03,2005-12-30,AVAILABLE
2006,247,2006-01-02,2006-12-29,AVAILABLE
2007,249,2007-01-02,2007-12-31,AVAILABLE
2008,246,2008-01-01,2008-12-31,AVAILABLE
2009,242,2009-01-01,2009-12-31,AVAILABLE
2010,251,2010-01-04,2010-12-31,AVAILABLE
2011,247,2011-01-03,2011-12-30,AVAILABLE
2012,247,2012-01-02,2012-12-31,AVAILABLE
2013,248,2013-01-01,2013-12-31,AVAILABLE
2014,243,2014-01-01,2014-12-31,AVAILABLE
2015,247,2015-01-01,2015-12-31,AVAILABLE
2016,246,2016-01-01,2016-12-30,AVAILABLE
2017,248,2017-01-02,2017-12-29,AVAILABLE
2018,246,2018-01-01,2018-12-31,AVAILABLE
2019,244,2019-01-01,2019-12-31,AVAILABLE
2020,250,2020-01-01,2020-12-31,AVAILABLE
2021,247,2021-01-01,2021-12-31,AVAILABLE
2022,247,2022-01-03,2022-12-30,AVAILABLE
2023,245,2023-01-02,2023-12-29,AVAILABLE
2024,246,2024-01-01,2024-12-31,AVAILABLE
2025,244,2025-01-01,2025-12-24,AVAILABLE
