symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,NIFTY OIL & GAS,nifty_oil_gas,ENERGY,2026-06-30
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,NIFTY OIL & GAS,nifty_oil_gas,ENERGY,2026-06-30
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,NIFTY OIL & GAS,nifty_oil_gas,ENERGY,2026-06-30
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY OIL & GAS,nifty_oil_gas,ENERGY,2026-06-30
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,NIFTY OIL & GAS,nifty_oil_gas,ENERGY,2026-06-30
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY OIL & GAS,nifty_oil_gas,ENERGY,2026-06-30
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,NIFTY OIL & GAS,nifty_oil_gas,ENERGY,2026-06-30
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY OIL & GAS,nifty_oil_gas,ENERGY,2026-06-30
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY OIL & GAS,nifty_oil_gas,ENERGY,2026-06-30
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,NIFTY OIL & GAS,nifty_oil_gas,ENERGY,2026-06-30
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,NIFTY OIL & GAS,nifty_oil_gas,ENERGY,2026-06-30
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,NIFTY OIL & GAS,nifty_oil_gas,ENERGY,2026-06-30
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,NIFTY OIL & GAS,nifty_oil_gas,ENERGY,2026-06-30
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,NIFTY OIL & GAS,nifty_oil_gas,ENERGY,2026-06-30
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,NIFTY OIL & GAS,nifty_oil_gas,ENERGY,2026-06-30
