SECTOR,COUNT
INDUSTRIAL_MANUFACTURING,130
IT,76
PHARMA,45
BANKING,43
CAPITAL_GOODS,38
FINANCIAL_SERVICES,37
CHEMICALS,35
POWER,27
FMCG,24
HOSPITALITY,20
HEALTHCARE,19
INFRASTRUCTURE,19
CEMENT,18
LOGISTICS,17
SPECIALTY_CHEMICALS,16
NBFC,16
REALTY,15
METALS,15
RETAIL,14
AUTO,14
DEFENCE,13
RENEWABLE_ENERGY,13
OIL_GAS,12
ELECTRICAL_EQUIPMENT,12
INSURANCE,12
AUTO_ANCILLARY,11
INDUSTRIAL_PRODUCTS,10
RAILWAY,8
TELECOM,8
CONSUMER_DURABLES,8
FERTILIZERS,7
AMC_WEALTH,7
CONSTRUCTION,6
SUGAR,5
DIAGNOSTICS,4
AEROSPACE,4
AGRI,2
DIGITAL_SERVICES,1
AVIATION,1
SHIPBUILDING,1
