"NSE_SYMBOL","NSE_COMPANY","BSE_SYMBOL","BSE_COMPANY","ISIN","REASON"
"3PLAND","3P Land Holdings Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"AAKASH","Aakash Exploration Services Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"AARON","Aaron Industries Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"AARVI","Aarvi Encon Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"ABMINTLLTD","ABM International Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"ACEINTEG","Ace Integrated Solutions Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"ADL","Archidply Decor Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"AGROPHOS","Agro Phos India Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"AHLADA","Ahlada Engineers Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"AIROLAM","Airo Lam limited","","","","SYMBOL=MISSING;NAME=MISSING"
"AJOONI","Ajooni Biotech Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"AKASH","Akash Infra-Projects Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"AKG","Akg Exim Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"ANSALAPI","Ansal Properties & Infrastructure Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"ANTGRAPHIC","Antarctica Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"APCL","Anjani Portland Cement Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"APOLSINHOT","Apollo Sindoori Hotels Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"AROGRANITE","Aro Granite Industries Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"ARTNIRMAN","Art Nirman Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"ARVEE","Arvee Laboratories (India) Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"ASPINWALL","Aspinwall and Company Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"AURIGROW","Auri Grow India Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"AYMSYNTEX","AYM Syntex Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"BALAXI","BALAXI PHARMACEUTICALS LIMITED","","","","SYMBOL=MISSING;NAME=MISSING"
"BANKA","Banka BioLoo Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"BEARDSELL","Beardsell Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"BETA","Beta Drugs Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"BLUECOAST","Blue Coast Hotels Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"BOHRAIND","Bohra Industries Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"BSE","BSE Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"BSHSL","Bombay Super Hybrid Seeds Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"CDSL","Central Depository Services (India) Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"CLCIND","CLC Industries Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"CONSOFINVT","Consolidated Finvest & Holdings Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"CREST","Crest Ventures Limited","CREST","CREST","INE559D01011","SYMBOL=EXACT;NAME=REVIEW"
"CROWN","Crown Lifters Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"CURAA","Cura Technologies Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"DANGEE","Dangee Dums Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"DGCONTENT","Digicontent Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"DPSCLTD","DPSC Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"E2E","E2E Networks Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"EIFFL","Euro India Fresh Foods Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"ELGIRUBCO","Elgi Rubber Company Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"FOCUS","Focus Lighting and Fixtures Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"GANGAFORGE","Ganga Forging Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"GEEKAYWIRE","Geekay Wires Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"GICL","Globe International Carriers Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"GKWLIMITED","GKW Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"GLFL","Gujarat Lease Financing Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"GLOBAL","Global Education Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"GLOBE","GLOBE ENTERPRISES (INDIA) LIMITED","","","","SYMBOL=MISSING;NAME=MISSING"
"GRADIENTE","Gradiente Infotainment Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"GROBTEA","The Grob Tea Company Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"GTECJAINX","G-TEC JAINX EDUCATION LIMITED","","","","SYMBOL=MISSING;NAME=MISSING"
"GVPTECH","GVP Infotech Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"HECPROJECT","HEC Infra Projects Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"HINDCON","Hindcon Chemicals Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"HISARMETAL","Hisar Metal Industries Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"HPIL","Hindprakash Industries Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"ICDSLTD","ICDS Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"ICEMAKE","Ice Make Refrigeration Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"IRISDOREME","Iris Clothings Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"JAIPURKURT","Nandani Creation Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"JARO","Jaro Institute of Technology Management and Research Limited","JARO","Jaro Institute of Technology M","INE00YJ01010","SYMBOL=EXACT;NAME=REVIEW"
"JMA","Jullundur Motor Agency (Delhi) Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"JOCIL","Jocil Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"KALYANI","Kalyani Commercials Limited","KALYANI","Kalyani Cast-Tech Limited","INE0N6U01018","SYMBOL=EXACT;NAME=REVIEW"
"KAPSTON","Kapston Services Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"KAYNES","Kaynes Technology India Limited","KAYNES","KAYNES TECHNOLOGY INDIA LIMITE","INE918Z01012","SYMBOL=EXACT;NAME=REVIEW"
"KCP","KCP Limited","KCP","K.C.P.LTD.","INE805C01028","SYMBOL=EXACT;NAME=REVIEW"
"KNAGRI","KN Agri Resources Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"KOTARISUG","Kothari Sugars And Chemicals Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"KOTHARIPET","Kothari Petrochemicals Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"KRISHANA","Krishana Phoschem Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"KRISHNADEF","Krishna Defence And Allied Industries Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"KRITIKA","Kritika Wires Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"KSHITIJPOL","Kshitij Polyline Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"LAGNAM","Lagnam Spintex Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"LATTEYS","Latteys Industries Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"LAXMICOT","Laxmi Cotspin Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"LCCINFOTEC","LCC Infotech Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"LEMERITE","Le Merite Exports Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"LEXUS","Lexus Granito (India) Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"LFIC","Lakshmi Finance & Industrial Corporation Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"LGHL","Laxmi Goldorna House Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"LIBAS","Libas Consumer Products Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"LTTS","L&T Technology Services Limited","LTTS","L&T Technology Services Limite","INE010V01017","SYMBOL=EXACT;NAME=REVIEW"
"MACPOWER","Macpower CNC Machines Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"MAHESHWARI","Maheshwari Logistics Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"MALUPAPER","Malu Paper Mills Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"MARALOVER","Maral Overseas Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"MARINE","Marine Electricals (India) Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"MASKINVEST","Mask Investments Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"MBAPL","Madhya Bharat Agro Products Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"MCL","Madhav Copper Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"MITCON","MITCON Consultancy & Engineering Services Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"MITTAL","Mittal Life Style Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"MMP","MMP Industries Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"MODIRUBBER","Modi Rubber Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"MODTHREAD","Modern Threads (India) Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"MOKSH","Moksh Ornaments Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"MUKTAARTS","Mukta Arts Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"NAHARPOLY","Nahar Poly Films Limited","NAHARPOLY","NAHAR POLYFILMS LTD.","INE308A01027","SYMBOL=EXACT;NAME=REVIEW"
"NBIFIN","N. B. I. Industrial Finance Company Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"NDGL","Naga Dhunseri Group Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"NIMBSPROJ","Nimbus Projects Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"NIRAJISPAT","Niraj Ispat Industries Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"NITIRAJ","Nitiraj Engineers Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"NKIND","NK Industries Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"NRL","Nupur Recyclers Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"OSIAHYPER","Osia Hyper Retail Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"OSWALSEEDS","ShreeOswal Seeds And Chemicals Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"PANACHE","Panache Digilife Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"PANSARI","Pansari Developers Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"PAR","Par Drugs And Chemicals Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"PIIND","PI Industries Limited","PIIND","P.I.INDUSTRIES LTD.","INE603J01030","SYMBOL=EXACT;NAME=REVIEW"
"PKTEA","The Peria Karamalai Tea & Produce Company Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"PODDARMENT","Poddar Pigments Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"PPAP","PPAP Automotive Limited","PPAP","PPAP","INE095I01015","SYMBOL=EXACT;NAME=REVIEW"
"PRECOT","Precot Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"PRITI","Priti International Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"RAJMET","Rajnandini Metal Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"REPL","Rudrabhishek Enterprises Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"RKEC","RKEC Projects Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"RPPL","Rajshree Polypack Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SAGARDEEP","Sagardeep Alloys Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SAKAR","Sakar Healthcare Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SANDESH","The Sandesh Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SANGINITA","Sanginita Chemicals Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SCILAL","Shipping Corporation of India Land and Assets Limited","SCILAL","Shipping Corporation of India","INE0PB301013","SYMBOL=EXACT;NAME=REVIEW"
"SECMARK","SecMark Consultancy Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SERVOTECH","Servotech Renewable Power System Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SHANTI","Shanti Overseas (India) Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SHIVAUM","Shiv Aum Steels Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SHRADHA","Shradha Realty Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SHRENIK","Shrenik Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SIKKO","Sikko Industries Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SILGO","Silgo Retail Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SILLYMONKS","Silly Monks Entertainment Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SINTERCOM","Sintercom India Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SOLEX","Solex Energy Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SONAL","Sonal Mercantile Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SONAMLTD","SONAM LIMITED","","","","SYMBOL=MISSING;NAME=MISSING"
"SPCENET","Spacenet Enterprises India Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"STEELCITY","Steel City Securities Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SUMIT","Sumit Woods Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SUPREMEENG","Supreme Engineering Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SURYALAXMI","Suryalakshmi Cotton Mills Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"SVLL","Shree Vasu Logistics Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"TARACHAND","Tara Chand InfraLogistic Solutions Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"TEMBO","Tembo Global Industries Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"THEJO","Thejo Engineering Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"TICL","Twamev Construction and Infrastructure Limited","TICL","TwamevConstruction and Infrast","INE388G01026","SYMBOL=EXACT;NAME=REVIEW"
"TIRUPATIFL","Tirupati Forge Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"TOTAL","Total Transport Systems Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"TOUCHWOOD","Touchwood Entertainment Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"TSFINV","TSF INVESTMENTS LIMITED","","","","SYMBOL=MISSING;NAME=MISSING"
"UNIINFO","Uniinfo Telecom Services Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"UNITEDTEA","The United Nilgiri Tea Estates Company Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"UNIVASTU","Univastu India Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"UNIVPHOTO","Universus Photo Imagings Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"VAISHALI","Vaishali Pharma Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"VARDHACRLC","Vardhman Acrylics Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"VCL","Vaxtex Cotfab Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"VERTOZ","Vertoz Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"VHL","Vardhman Holdings Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"VIPIND","VIP Industries Limited","VIPIND","V.I.P.INDUSTRIES LTD.","INE054A01027","SYMBOL=EXACT;NAME=REVIEW"
"VITAL","Vital Chemtech Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"VIVIANA","Viviana Power Tech Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"WEIZMANIND","Weizmann Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"WINSOME","Winsome Yarns Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"WIPL","The Western India Plywoods Limited","","","","SYMBOL=MISSING;NAME=MISSING"
"ZOTA","Zota Health Care LImited","","","","SYMBOL=MISSING;NAME=MISSING"
