THEME,SECTOR
PHARMACEUTICALS,PHARMA
BIOTECHNOLOGY,PHARMA
PHARMACY RETAIL,PHARMA

AUTO COMPONENTS AND EQUIPMENTS,AUTO
AUTO DEALER,AUTO
COMMERCIAL VEHICLES,AUTO
PASSENGER CARS AND UTILITY VEHICLES,AUTO
TRACTORS,AUTO
TRADING - AUTO COMPONENTS,AUTO

PRIVATE SECTOR BANK,BANKING
PUBLIC SECTOR BANK,BANKING
OTHER BANK,BANKING

NON BANKING FINANCIAL COMPANY (NBFC),FINANCIAL_SERVICES
HOUSING FINANCE COMPANY,FINANCIAL_SERVICES
MICROFINANCE INSTITUTIONS,FINANCIAL_SERVICES
ASSET MANAGEMENT COMPANY,FINANCIAL_SERVICES
FINANCIAL INSTITUTION,FINANCIAL_SERVICES
OTHER FINANCIAL SERVICES,FINANCIAL_SERVICES
INVESTMENT COMPANY,FINANCIAL_SERVICES
STOCKBROKING AND ALLIED,FINANCIAL_SERVICES
RATINGS,FINANCIAL_SERVICES

HEALTHCARE SERVICE PROVIDER,HEALTHCARE
HOSPITAL,HEALTHCARE
MEDICAL EQUIPMENT AND SUPPLIES,HEALTHCARE
"HEALTHCARE RESEARCH, ANALYTICS AND TECHNOLOGY",HEALTHCARE
WELLNESS,HEALTHCARE

POWER GENERATION,POWER
POWER DISTRIBUTION,POWER
POWER - TRANSMISSION,POWER
POWER TRADING,POWER
INTEGRATED POWER UTILITIES,POWER

SPECIALTY CHEMICALS,CHEMICALS
COMMODITY CHEMICALS,CHEMICALS
PETROCHEMICALS,CHEMICALS
DYES AND PIGMENTS,CHEMICALS
PESTICIDES AND AGROCHEMICALS,CHEMICALS
FERTILIZERS,CHEMICALS

COMPUTERS - SOFTWARE AND CONSULTING,IT
SOFTWARE PRODUCTS,IT
IT ENABLED SERVICES,IT
DATA PROCESSING SERVICES,IT
FINANCIAL TECHNOLOGY (FINTECH),IT

"RESIDENTIAL, COMMERCIAL PROJECTS",REALTY
REAL ESTATE RELATED SERVICES,REALTY

CIVIL CONSTRUCTION,INFRASTRUCTURE
"ROAD ASSETSTOLL, ANNUITY, HYBRID-ANNUITY",INFRASTRUCTURE
ROAD TRANSPORT,INFRASTRUCTURE
PORT AND PORT SERVICES,INFRASTRUCTURE
RAILWAY WAGONS,INFRASTRUCTURE
AIRPORT AND AIRPORT SERVICES,INFRASTRUCTURE

INDUSTRIAL PRODUCTS,INDUSTRIAL_MANUFACTURING
OTHER INDUSTRIAL PRODUCTS,INDUSTRIAL_MANUFACTURING
HEAVY ELECTRICAL EQUIPMENT,CAPITAL_GOODS
OTHER ELECTRICAL EQUIPMENT,CAPITAL_GOODS
"COMPRESSORS, PUMPS AND DIESEL ENGINES",CAPITAL_GOODS
CABLES - ELECTRICALS,CAPITAL_GOODS

IRON AND STEEL PRODUCTS,METALS
IRON AND STEEL,METALS
ALUMINIUM,METALS
COPPER,METALS
ZINC,METALS
PRECIOUS METALS,METALS
DIVERSIFIED METALS,METALS

CEMENT AND CEMENT PRODUCTS,CEMENT

LOGISTICS SOLUTION PROVIDER,LOGISTICS
SHIPPING,LOGISTICS
TRANSPORT RELATED SERVICES,LOGISTICS

HOTELS AND RESORTS,HOSPITALITY
RESTAURANTS,HOSPITALITY
"TOUR, TRAVEL RELATED SERVICES",HOSPITALITY

GARMENTS AND APPARELS,TEXTILES
OTHER TEXTILE PRODUCTS,TEXTILES
TRADING - TEXTILE PRODUCTS,TEXTILES

PACKAGED FOODS,FMCG
DIVERSIFIED FMCG,FMCG
DAIRY PRODUCTS,FMCG
EDIBLE OIL,FMCG
OTHER FOOD PRODUCTS,FMCG
PERSONAL CARE,FMCG
HOUSEHOLD PRODUCTS,FMCG
HOUSEHOLD APPLIANCES,FMCG
BREWERIES AND DISTILLERIES,FMCG
TEA AND COFFEE,FMCG

DIVERSIFIED RETAIL,RETAIL
SPECIALITY RETAIL,RETAIL
E-RETAIL E-COMMERCE,RETAIL
INTERNET AND CATALOGUE RETAIL,RETAIL

AEROSPACE AND DEFENSE,DEFENCE

PAPER AND PAPER PRODUCTS,PAPER
PACKAGING,PAPER

HOLDING COMPANY,FINANCIAL_SERVICES

EDUCATION,EDUCATION
E-LEARNING,EDUCATION

CONSUMER ELECTRONICS,ELECTRONICS
TV BROADCASTING AND SOFTWARE PRODUCTION,MEDIA
MEDIA AND ENTERTAINMENT,MEDIA
PRINT MEDIA,MEDIA
ELECTRONIC MEDIA,MEDIA

OTHER AGRICULTURAL PRODUCTS,AGRI
ANIMAL FEED,AGRI
