S.No.,Name,CMPRs.,P/E,Mar CapRs.Cr.,Div Yld%,NP QtrRs.Cr.,Qtr Profit Var%,Sales QtrRs.Cr.,Qtr Sales Var%,ROCE%
1.,SIS,417.05,16.70,5892.71,1.68,102.50,92.24,4489.30,30.96,13.87
2.,Exhicon Events,441.00,16.00,651.20,0.03,23.13,22.08,100.09,23.75,29.49
3.,Mach Travel Solutions,137.35,17.42,288.94,0.73,8.86,57.37,122.11,4.87,18.24
4.,E Factor Experie,182.00,12.14,238.99,0.66,14.61,-26.66,138.84,-9.50,24.71
5.,Party Cruisers,100.00,9.68,119.41,0.00,2.82,33.02,33.33,11.58,39.65
6.,NIS Management,51.21,4.16,101.40,0.00,-14.04,115.97,116.59,13.19,12.05
7.,Touchwood Enter.,70.46,18.37,78.08,0.00,0.70,-50.00,27.94,12.03,13.39
8.,Blue Pebble,93.90,78.18,38.31,0.53,-0.26,,11.14,,2.38
9.,Safecure Service,25.95,4.87,26.05,0.00,2.38,-22.22,26.97,-27.50,16.36
10.,Thinking Hats,12.35,12.44,15.42,0.00,0.51,-80.08,15.16,-61.15,5.96
